station_name,lat,lng,line,prefecture
久留米,33.319778,130.501408,JR久大本線,福岡県
久留米高校前,33.298431,130.517109,JR久大本線,福岡県
南久留米,33.302857,130.532204,JR久大本線,福岡県
久留米大学前,33.310843,130.548876,JR久大本線,福岡県
御井,33.312813,130.562361,JR久大本線,福岡県
善導寺,33.320141,130.608851,JR久大本線,福岡県
筑後草野,33.321988,130.642143,JR久大本線,福岡県
田主丸,33.338871,130.692353,JR久大本線,福岡県
筑後吉井,33.341014,130.752193,JR久大本線,福岡県
うきは,33.33506,130.789107,JR久大本線,福岡県
筑後大石,33.347215,130.816899,JR久大本線,福岡県
夜明,33.319541,130.866195,JR久大本線,大分県
光岡,33.327668,130.919901,JR久大本線,大分県
日田,33.317014,130.938786,JR久大本線,大分県
豊後三芳,33.305796,130.951557,JR久大本線,大分県
豊後中川,33.284482,131.005834,JR久大本線,大分県
天ヶ瀬,33.254747,131.023877,JR久大本線,大分県
杉河内,33.264391,131.065535,JR久大本線,大分県
北山田,33.282004,131.100917,JR久大本線,大分県
豊後森,33.282954,131.155202,JR久大本線,大分県
恵良,33.255224,131.174566,JR久大本線,大分県
引治,33.229188,131.183589,JR久大本線,大分県
豊後中村,33.226016,131.207548,JR久大本線,大分県
野矢,33.240391,131.25186,JR久大本線,大分県
由布院,33.262551,131.355024,JR久大本線,大分県
南由布,33.242116,131.333544,JR久大本線,大分県
湯平,33.197339,131.354395,JR久大本線,大分県
庄内,33.185126,131.402063,JR久大本線,大分県
天神山,33.187154,131.438821,JR久大本線,大分県
小野屋,33.185258,131.452546,JR久大本線,大分県
鬼瀬,33.195721,131.485586,JR久大本線,大分県
向之原,33.196625,131.514075,JR久大本線,大分県
豊後国分,33.195065,131.551219,JR久大本線,大分県
賀来,33.213091,131.562455,JR久大本線,大分県
南大分,33.214276,131.585913,JR久大本線,大分県
古国府,33.220707,131.608305,JR久大本線,大分県
大分,33.232794,131.606595,JR久大本線,大分県
博多,33.590002,130.420622,JR博多南線,福岡県
博多南,33.517955,130.436997,JR博多南線,福岡県
姫路,34.827659,134.690769,JR山陽本線,兵庫県
英賀保,34.813235,134.644762,JR山陽本線,兵庫県
はりま勝原,34.810157,134.614105,JR山陽本線,兵庫県
網干,34.814096,134.584035,JR山陽本線,兵庫県
竜野,34.825522,134.522004,JR山陽本線,兵庫県
相生,34.818052,134.47341,JR山陽本線,兵庫県
有年,34.829263,134.395568,JR山陽本線,兵庫県
上郡,34.865845,134.354081,JR山陽本線,兵庫県
三石,34.804507,134.275416,JR山陽本線,岡山県
吉永,34.812259,134.204626,JR山陽本線,岡山県
和気,34.797297,134.152787,JR山陽本線,岡山県
熊山,34.783556,134.109433,JR山陽本線,岡山県
万富,34.758256,134.080609,JR山陽本線,岡山県
瀬戸,34.734499,134.041897,JR山陽本線,岡山県
上道,34.699466,134.020569,JR山陽本線,岡山県
東岡山,34.685633,133.988103,JR山陽本線,岡山県
高島,34.683074,133.95774,JR山陽本線,岡山県
