station_name,lat,lng,line,prefecture
高尾,35.642026,139.282288,JR中央本線,東京都
相模湖,35.617335,139.1885,JR中央本線,神奈川県
藤野,35.615918,139.15239,JR中央本線,神奈川県
上野原,35.618747,139.115787,JR中央本線,山梨県
四方津,35.614252,139.072572,JR中央本線,山梨県
梁川,35.605271,139.038076,JR中央本線,山梨県
鳥沢,35.608118,139.003345,JR中央本線,山梨県
猿橋,35.61288,138.968388,JR中央本線,山梨県
大月,35.613222,138.942729,JR中央本線,山梨県
初狩,35.594274,138.883966,JR中央本線,山梨県
笹子,35.603921,138.825205,JR中央本線,山梨県
甲斐大和,35.639364,138.781632,JR中央本線,山梨県
勝沼ぶどう郷,35.67279,138.74323,JR中央本線,山梨県
塩山,35.705327,138.734796,JR中央本線,山梨県
東山梨,35.694313,138.703026,JR中央本線,山梨県
山梨市,35.684961,138.683003,JR中央本線,山梨県
春日居町,35.673491,138.659,JR中央本線,山梨県
石和温泉,35.657603,138.634577,JR中央本線,山梨県
酒折,35.659486,138.598852,JR中央本線,山梨県
甲府,35.667054,138.569015,JR中央本線,山梨県
竜王,35.668764,138.519298,JR中央本線,山梨県
塩崎,35.687734,138.487521,JR中央本線,山梨県
韮崎,35.709711,138.451357,JR中央本線,山梨県
新府,35.736802,138.433093,JR中央本線,山梨県
穴山,35.75107,138.413858,JR中央本線,山梨県
日野春,35.79065,138.394316,JR中央本線,山梨県
長坂,35.827061,138.366459,JR中央本線,山梨県
小淵沢,35.863808,138.316351,JR中央本線,山梨県
信濃境,35.884952,138.275419,JR中央本線,長野県
富士見,35.912183,138.238071,JR中央本線,長野県
すずらんの里,35.930288,138.211775,JR中央本線,長野県
青柳,35.942581,138.197612,JR中央本線,長野県
茅野,35.995062,138.151674,JR中央本線,長野県
上諏訪,36.046618,138.116306,JR中央本線,長野県
下諏訪,36.071949,138.084953,JR中央本線,長野県
岡谷,36.056693,138.045001,JR中央本線,長野県
みどり湖,36.094176,137.981928,JR中央本線,長野県
塩尻,36.114364,137.947961,JR中央本線,長野県
洗馬,36.087164,137.916842,JR中央本線,長野県
日出塩,36.049004,137.894804,JR中央本線,長野県
贄川,36.014008,137.86091,JR中央本線,長野県
木曽平沢,35.979108,137.832613,JR中央本線,長野県
奈良井,35.969476,137.816195,JR中央本線,長野県
藪原,35.930152,137.784368,JR中央本線,長野県
