station_name,lat,lng,line,prefecture
京都,34.985465,135.757748,JR京都線,京都府
西大路,34.981077,135.731702,JR京都線,京都府
桂川,34.964814,135.710391,JR京都線,京都府
向日町,34.954838,135.709804,JR京都線,京都府
長岡京,34.923483,135.700882,JR京都線,京都府
山崎,34.892257,135.679124,JR京都線,京都府
島本,34.881337,135.663385,JR京都線,京都府
高槻,34.8512,135.617016,JR京都線,大阪府
摂津富田,34.837729,135.59336,JR京都線,大阪府
JR総持寺,34.828557,135.57769,JR京都線,大阪府
茨木,34.815091,135.56208,JR京都線,大阪府
千里丘,34.791502,135.551512,JR京都線,大阪府
岸辺,34.776812,135.541613,JR京都線,大阪府
吹田,34.763209,135.523642,JR京都線,大阪府
東淀川,34.73938,135.503915,JR京都線,大阪府
新大阪,34.734136,135.501852,JR京都線,大阪府
大阪,34.702398,135.495188,JR京都線,大阪府
加茂,34.752575,135.869609,JR大和路線,京都府
木津,34.735962,135.824794,JR大和路線,京都府
平城山,34.710431,135.810252,JR大和路線,奈良県
奈良,34.680482,135.818935,JR大和路線,奈良県
郡山,34.648335,135.790441,JR大和路線,奈良県
大和小泉,34.622226,135.763488,JR大和路線,奈良県
法隆寺,34.601377,135.738604,JR大和路線,奈良県
王寺,34.597448,135.704005,JR大和路線,奈良県
三郷,34.588867,135.687484,JR大和路線,奈良県
河内堅上,34.574005,135.662956,JR大和路線,大阪府
高井田,34.57147,135.638645,JR大和路線,大阪府
柏原,34.586681,135.62341,JR大和路線,大阪府
志紀,34.600248,135.615998,JR大和路線,大阪府
八尾,34.617265,135.597136,JR大和路線,大阪府
久宝寺,34.622558,135.583988,JR大和路線,大阪府
加美,34.626888,135.566939,JR大和路線,大阪府
平野,34.630842,135.551612,JR大和路線,大阪府
東部市場前,34.638056,135.537802,JR大和路線,大阪府
天王寺,34.647243,135.514124,JR大和路線,大阪府
新今宮,34.650149,135.501076,JR大和路線,大阪府
今宮,34.654156,135.492975,JR大和路線,大阪府
JR難波,34.666438,135.495265,JR大和路線,大阪府
福島,34.697167,135.486563,JR大阪環状線,大阪府
野田,34.689069,135.474837,JR大阪環状線,大阪府
西九条,34.68269,135.466779,JR大阪環状線,大阪府
弁天町,34.669403,135.462348,JR大阪環状線,大阪府
大正,34.665582,135.479932,JR大阪環状線,大阪府
芦原橋,34.658608,135.48924,JR大阪環状線,大阪府
寺田町,34.647957,135.523437,JR大阪環状線,大阪府
桃谷,34.658453,135.527908,JR大阪環状線,大阪府
鶴橋,34.665264,135.530133,JR大阪環状線,大阪府
玉造,34.673559,135.532901,JR大阪環状線,大阪府
森ノ宮,34.680412,135.533996,JR大阪環状線,大阪府
大阪城公園,34.68858,135.534482,JR大阪環状線,大阪府
京橋,34.696047,135.534253,JR大阪環状線,大阪府
桜ノ宮,34.704976,135.520944,JR大阪環状線,大阪府
天満,34.704923,135.512233,JR大阪環状線,大阪府
大阪城北詰,34.694283,135.525538,JR東西線,大阪府
大阪天満宮,34.697404,135.513442,JR東西線,大阪府
北新地,34.698323,135.497038,JR東西線,大阪府
新福島,34.695094,135.48593,JR東西線,大阪府
海老江,34.69544,135.473276,JR東西線,大阪府
御幣島,34.71259,135.45568,JR東西線,大阪府
加島,34.727496,135.454183,JR東西線,大阪府
尼崎,34.731791,135.431685,JR東西線,兵庫県
安治川口,34.673416,135.443921,JR桜島線,大阪府
ユニバーサルシティ,34.667842,135.438705,JR桜島線,大阪府
桜島,34.662065,135.432136,JR桜島線,大阪府
西木津,34.737762,135.803507,JR片町線,京都府
祝園,34.76017,135.792107,JR片町線,京都府
下狛,34.780579,135.788574,JR片町線,京都府
JR三山木,34.798334,135.784578,JR片町線,京都府
同志社前,34.805124,135.778633,JR片町線,京都府
京田辺,34.821114,135.768664,JR片町線,京都府
大住,34.830785,135.749874,JR片町線,京都府
松井山手,34.833288,135.727617,JR片町線,京都府
長尾,34.825938,135.713091,JR片町線,大阪府
藤阪,34.814466,135.702748,JR片町線,大阪府
津田,34.801373,135.697946,JR片町線,大阪府
河内磐船,34.776501,135.684592,JR片町線,大阪府
星田,34.767346,135.663455,JR片町線,大阪府
寝屋川公園,34.755491,135.653276,JR片町線,大阪府
忍ヶ丘,34.745762,135.645232,JR片町線,大阪府
四条畷,34.730128,135.639297,JR片町線,大阪府
野崎,34.718334,135.636942,JR片町線,大阪府
住道,34.706238,135.621496,JR片町線,大阪府
鴻池新田,34.698847,135.597679,JR片町線,大阪府
徳庵,34.692423,135.581386,JR片町線,大阪府
放出,34.688103,135.563296,JR片町線,大阪府
鴫野,34.692769,135.544995,JR片町線,大阪府
塚本,34.71271,135.468843,JR神戸線,大阪府
立花,34.737875,135.399571,JR神戸線,兵庫県
甲子園口,34.739052,135.374426,JR神戸線,兵庫県
西宮,34.738985,135.348703,JR神戸線,兵庫県
さくら夙川,34.739079,135.331093,JR神戸線,兵庫県
芦屋,34.734207,135.307102,JR神戸線,兵庫県
甲南山手,34.730616,135.292788,JR神戸線,兵庫県
摂津本山,34.726661,135.27699,JR神戸線,兵庫県
住吉,34.719595,135.261859,JR神戸線,兵庫県
六甲道,34.714945,135.238588,JR神戸線,兵庫県
摩耶,34.708667,135.225167,JR神戸線,兵庫県
灘,34.705918,135.216578,JR神戸線,兵庫県
三ノ宮,34.694766,135.195058,JR神戸線,兵庫県
元町,34.689602,135.187401,JR神戸線,兵庫県
神戸,34.679453,135.17822,JR神戸線,兵庫県
兵庫,34.668343,135.164706,JR神戸線,兵庫県
新長田,34.657525,135.145193,JR神戸線,兵庫県
鷹取,34.651667,135.135275,JR神戸線,兵庫県
須磨海浜公園,34.647185,135.126616,JR神戸線,兵庫県
須磨,34.642292,135.112814,JR神戸線,兵庫県
塩屋,34.633507,135.083361,JR神戸線,兵庫県
垂水,34.629252,135.053872,JR神戸線,兵庫県
舞子,34.63302,135.034373,JR神戸線,兵庫県
朝霧,34.644196,135.017485,JR神戸線,兵庫県
明石,34.649084,134.992512,JR神戸線,兵庫県
西明石,34.66591,134.960151,JR神戸線,兵庫県
大久保,34.681914,134.939194,JR神戸線,兵庫県
魚住,34.696401,134.906028,JR神戸線,兵庫県
土山,34.720482,134.888921,JR神戸線,兵庫県
東加古川,34.745857,134.869244,JR神戸線,兵庫県
加古川,34.767666,134.839447,JR神戸線,兵庫県
宝殿,34.784795,134.812158,JR神戸線,兵庫県
曽根,34.793304,134.769838,JR神戸線,兵庫県
ひめじ別所,34.805544,134.753309,JR神戸線,兵庫県
御着,34.816944,134.735486,JR神戸線,兵庫県
東姫路,34.824361,134.712472,JR神戸線,兵庫県
姫路,34.827659,134.690769,JR神戸線,兵庫県
塚口,34.751028,135.424948,JR福知山線,兵庫県
猪名寺,34.764086,135.422598,JR福知山線,兵庫県
伊丹,34.78065,135.421686,JR福知山線,兵庫県
北伊丹,34.801349,135.419326,JR福知山線,兵庫県
川西池田,34.824857,135.409901,JR福知山線,兵庫県
中山寺,34.816627,135.373993,JR福知山線,兵庫県
宝塚,34.811562,135.340399,JR福知山線,兵庫県
生瀬,34.819159,135.325058,JR福知山線,兵庫県
西宮名塩,34.827125,135.308871,JR福知山線,兵庫県
武田尾,34.855316,135.305838,JR福知山線,兵庫県
道場,34.867303,135.255528,JR福知山線,兵庫県
三田,34.888787,135.22979,JR福知山線,兵庫県
新三田,34.910183,135.20861,JR福知山線,兵庫県
広野,34.928424,135.191267,JR福知山線,兵庫県
相野,34.947482,135.155998,JR福知山線,兵庫県
藍本,34.977041,135.155533,JR福知山線,兵庫県
草野,34.996887,135.1524,JR福知山線,兵庫県
古市,35.021932,135.154808,JR福知山線,兵庫県
南矢代,35.037697,135.174875,JR福知山線,兵庫県
篠山口,35.056223,135.177452,JR福知山線,兵庫県
丹波大山,35.072369,135.168533,JR福知山線,兵庫県
下滝,35.08791,135.094268,JR福知山線,兵庫県
谷川,35.082724,135.049666,JR福知山線,兵庫県
柏原,35.127206,135.077082,JR福知山線,兵庫県
石生,35.152706,135.063719,JR福知山線,兵庫県
黒井,35.168549,135.097302,JR福知山線,兵庫県
市島,35.207868,135.130198,JR福知山線,兵庫県
丹波竹田,35.24373,135.133908,JR福知山線,兵庫県
福知山,35.296143,135.118564,JR福知山線,京都府
日根野,34.39075,135.331309,JR関西空港線,大阪府
りんくうタウン,34.410308,135.300117,JR関西空港線,大阪府
関西空港,34.436,135.243419,JR関西空港線,大阪府
美章園,34.638411,135.523765,JR阪和線,大阪府
南田辺,34.625551,135.52086,JR阪和線,大阪府
鶴ヶ丘,34.617999,135.517088,JR阪和線,大阪府
長居,34.6109,135.512769,JR阪和線,大阪府
我孫子町,34.601873,135.50667,JR阪和線,大阪府
杉本町,34.593113,135.503034,JR阪和線,大阪府
浅香,34.585303,135.502423,JR阪和線,大阪府
堺市,34.577765,135.498644,JR阪和線,大阪府
三国ヶ丘,34.566319,135.492743,JR阪和線,大阪府
百舌鳥,34.558322,135.488934,JR阪和線,大阪府
上野芝,34.549484,135.478026,JR阪和線,大阪府
津久野,34.542287,135.468108,JR阪和線,大阪府
鳳,34.531674,135.458734,JR阪和線,大阪府
富木,34.522534,135.451171,JR阪和線,大阪府
北信太,34.510671,135.441506,JR阪和線,大阪府
信太山,34.500183,135.432895,JR阪和線,大阪府
和泉府中,34.48794,135.423891,JR阪和線,大阪府
久米田,34.46574,135.405384,JR阪和線,大阪府
下松,34.457344,135.39683,JR阪和線,大阪府
東岸和田,34.449341,135.385859,JR阪和線,大阪府
東貝塚,34.440051,135.373055,JR阪和線,大阪府
和泉橋本,34.427379,135.358762,JR阪和線,大阪府
東佐野,34.416744,135.350138,JR阪和線,大阪府
熊取,34.406048,135.341086,JR阪和線,大阪府
長滝,34.381865,135.319574,JR阪和線,大阪府
新家,34.372405,135.299076,JR阪和線,大阪府
和泉砂川,34.360289,135.281242,JR阪和線,大阪府
和泉鳥取,34.342538,135.263238,JR阪和線,大阪府
山中渓,34.325535,135.269741,JR阪和線,大阪府
紀伊,34.269213,135.246179,JR阪和線,和歌山県
六十谷,34.26244,135.207116,JR阪和線,和歌山県
紀伊中ノ島,34.242894,135.190223,JR阪和線,和歌山県
和歌山,34.232436,135.191454,JR阪和線,和歌山県
東羽衣,34.535029,135.442824,JR阪和線,大阪府
枚方市,34.816171,135.648814,京阪交野線,大阪府
宮之阪,34.813649,135.65663,京阪交野線,大阪府
星ヶ丘,34.807696,135.659755,京阪交野線,大阪府
村野,34.801828,135.664221,京阪交野線,大阪府
郡津,34.794376,135.669868,京阪交野線,大阪府
交野市,34.786924,135.675595,京阪交野線,大阪府
河内森,34.77386,135.685617,京阪交野線,大阪府
私市,34.767671,135.686569,京阪交野線,大阪府
淀屋橋,34.692456,135.501648,京阪本線,大阪府
北浜,34.691799,135.50683,京阪本線,大阪府
天満橋,34.6902,135.516633,京阪本線,大阪府
京橋,34.697052,135.532182,京阪本線,大阪府
野江,34.707223,135.543356,京阪本線,大阪府
関目,34.71252,135.546953,京阪本線,大阪府
森小路,34.719419,135.551686,京阪本線,大阪府
千林,34.723966,135.554741,京阪本線,大阪府
滝井,34.727868,135.557463,京阪本線,大阪府
土居,34.730577,135.559763,京阪本線,大阪府
守口市,34.735323,135.565273,京阪本線,大阪府
西三荘,34.737309,135.5759,京阪本線,大阪府
門真市,34.73809,135.583224,京阪本線,大阪府
古川橋,34.73994,135.591484,京阪本線,大阪府
大和田,34.742962,135.602667,京阪本線,大阪府
萱島,34.747453,135.61118,京阪本線,大阪府
寝屋川市,34.763893,135.620603,京阪本線,大阪府
香里園,34.784613,135.630927,京阪本線,大阪府
光善寺,34.797745,135.630124,京阪本線,大阪府
枚方公園,34.811526,135.639465,京阪本線,大阪府
御殿山,34.829178,135.653969,京阪本線,大阪府
牧野,34.843868,135.665584,京阪本線,大阪府
樟葉,34.861977,135.675352,京阪本線,大阪府
橋本,34.882042,135.684251,京阪本線,京都府
石清水八幡宮,34.884651,135.69996,京阪本線,京都府
淀,34.904416,135.718435,京阪本線,京都府
中書島,34.926875,135.760174,京阪本線,京都府
伏見桃山,34.932599,135.764368,京阪本線,京都府
丹波橋,34.938879,135.765457,京阪本線,京都府
墨染,34.948206,135.769126,京阪本線,京都府
藤森,34.956782,135.770191,京阪本線,京都府
龍谷大前深草,34.964247,135.770154,京阪本線,京都府
伏見稲荷,34.968966,135.769279,京阪本線,京都府
鳥羽街道,34.973632,135.770004,京阪本線,京都府
東福寺,34.981351,135.769998,京阪本線,京都府
七条,34.989322,135.767846,京阪本線,京都府
清水五条,34.995691,135.768378,京阪本線,京都府
祇園四条,35.003689,135.771961,京阪本線,京都府
三条,35.009114,135.772274,京阪本線,京都府
神宮丸太町,35.017669,135.772161,京阪本線,京都府
出町柳,35.029613,135.77244,京阪本線,京都府
中之島,34.691504,135.487373,京阪中之島線,大阪府
渡辺橋,34.693916,135.49542,京阪中之島線,大阪府
大江橋,34.694296,135.500412,京阪中之島線,大阪府
なにわ橋,34.692829,135.506594,京阪中之島線,大阪府
箕面萱野,34.831512,135.48914,北大阪急行,大阪府
箕面船場阪大前,34.821277,135.490495,北大阪急行,大阪府
千里中央,34.808655,135.495067,北大阪急行,大阪府
桃山台,34.793842,135.497142,北大阪急行,大阪府
緑地公園,34.774772,135.495278,北大阪急行,大阪府
江坂,34.758755,135.497106,北大阪急行,大阪府
みさき公園,34.323986,135.160977,南海多奈川線,大阪府
深日町,34.31823,135.148002,南海多奈川線,大阪府
深日港,34.317386,135.141297,南海多奈川線,大阪府
多奈川,34.316705,135.137181,南海多奈川線,大阪府
難波,34.66357,135.501949,南海本線,大阪府
新今宮,34.650429,135.500302,南海本線,大阪府
天下茶屋,34.636847,135.496673,南海本線,大阪府
岸里玉出,34.628291,135.494388,南海本線,大阪府
粉浜,34.61833,135.491763,南海本線,大阪府
住吉大社,34.612431,135.490124,南海本線,大阪府
住ノ江,34.605348,135.487011,南海本線,大阪府
七道,34.592313,135.480556,南海本線,大阪府
堺,34.581958,135.468754,南海本線,大阪府
湊,34.570489,135.459975,南海本線,大阪府
石津川,34.559377,135.453178,南海本線,大阪府
諏訪ノ森,34.551764,135.449129,南海本線,大阪府
浜寺公園,34.541243,135.444629,南海本線,大阪府
羽衣,34.534546,135.44178,南海本線,大阪府
高石,34.521439,135.432723,南海本線,大阪府
北助松,34.514523,135.422779,南海本線,大阪府
松ノ浜,34.508932,135.414702,南海本線,大阪府
泉大津,34.503235,135.406642,南海本線,大阪府
忠岡,34.488645,135.397668,南海本線,大阪府
春木,34.477688,135.392077,南海本線,大阪府
和泉大宮,34.467917,135.384908,南海本線,大阪府
岸和田,34.460304,135.37819,南海本線,大阪府
蛸地蔵,34.456437,135.37031,南海本線,大阪府
貝塚,34.445499,135.357485,南海本線,大阪府
二色浜,34.432717,135.345275,南海本線,大阪府
鶴原,34.426479,135.338366,南海本線,大阪府
井原里,34.41983,135.330742,南海本線,大阪府
泉佐野,34.411153,135.316724,南海本線,大阪府
羽倉崎,34.399346,135.299484,南海本線,大阪府
吉見ノ里,34.391397,135.28976,南海本線,大阪府
岡田浦,34.384569,135.276939,南海本線,大阪府
樽井,34.374184,135.261362,南海本線,大阪府
尾崎,34.36103,135.240172,南海本線,大阪府
鳥取ノ荘,34.351323,135.231857,南海本線,大阪府
箱作,34.341323,135.212634,南海本線,大阪府
淡輪,34.331229,135.178159,南海本線,大阪府
孝子,34.290619,135.151019,南海本線,大阪府
和歌山大学前,34.2753,135.147036,南海本線,和歌山県
紀ノ川,34.254937,135.165908,南海本線,和歌山県
和歌山市,34.236925,135.166538,南海本線,和歌山県
汐見橋,34.667638,135.486165,南海汐見橋線,大阪府
