station_name,lat,lng,line,prefecture
大沼,41.971954,140.669347,JR函館支線,北海道
鹿部,42.06439,140.771393,JR函館支線,北海道
渡島沼尻,42.10706,140.747596,JR函館支線,北海道
渡島砂原,42.12164,140.689451,JR函館支線,北海道
掛澗,42.119205,140.64598,JR函館支線,北海道
尾白内,42.111232,140.613449,JR函館支線,北海道
東森,42.106823,140.59353,JR函館支線,北海道
森,42.108917,140.573846,JR函館支線,北海道
函館,41.773709,140.726413,JR函館本線,北海道
五稜郭,41.803557,140.733539,JR函館本線,北海道
桔梗,41.846457,140.722952,JR函館本線,北海道
大中山,41.864641,140.71358,JR函館本線,北海道
七飯,41.886971,140.688556,JR函館本線,北海道
新函館北斗,41.9054,140.646525,JR函館本線,北海道
仁山,41.930011,140.635183,JR函館本線,北海道
大沼公園,41.980958,140.669758,JR函館本線,北海道
赤井川,42.003267,140.642678,JR函館本線,北海道
駒ヶ岳,42.038809,140.610476,JR函館本線,北海道
石倉,42.17285,140.458436,JR函館本線,北海道
落部,42.187617,140.420755,JR函館本線,北海道
野田生,42.217104,140.37586,JR函館本線,北海道
山越,42.231172,140.326593,JR函館本線,北海道
八雲,42.253391,140.273342,JR函館本線,北海道
山崎,42.314635,140.2746,JR函館本線,北海道
黒岩,42.368296,140.288173,JR函館本線,北海道
国縫,42.439319,140.320885,JR函館本線,北海道
長万部,42.512477,140.37507,JR函館本線,北海道
二股,42.575869,140.320821,JR函館本線,北海道
黒松内,42.669608,140.305704,JR函館本線,北海道
熱郛,42.675653,140.375084,JR函館本線,北海道
目名,42.761432,140.465742,JR函館本線,北海道
蘭越,42.804542,140.52894,JR函館本線,北海道
昆布,42.797984,140.596107,JR函館本線,北海道
ニセコ,42.808746,140.684588,JR函館本線,北海道
比羅夫,42.84856,140.722615,JR函館本線,北海道
倶知安,42.90164,140.745471,JR函館本線,北海道
小沢,42.97185,140.677657,JR函館本線,北海道
銀山,43.040888,140.715321,JR函館本線,北海道
然別,43.12551,140.737211,JR函館本線,北海道
仁木,43.154091,140.770546,JR函館本線,北海道
余市,43.186558,140.794686,JR函館本線,北海道
蘭島,43.19651,140.854643,JR函館本線,北海道
塩谷,43.202406,140.924546,JR函館本線,北海道
小樽,43.197172,140.993653,JR函館本線,北海道
南小樽,43.186529,141.007883,JR函館本線,北海道
小樽築港,43.180752,141.029051,JR函館本線,北海道
朝里,43.176868,141.063923,JR函館本線,北海道
銭函,43.143403,141.159868,JR函館本線,北海道
ほしみ,43.13373,141.191402,JR函館本線,北海道
星置,43.132375,141.210856,JR函館本線,北海道
稲穂,43.128115,141.222919,JR函館本線,北海道
手稲,43.120238,141.243785,JR函館本線,北海道
稲積公園,43.112023,141.257113,JR函館本線,北海道
発寒,43.099819,141.277273,JR函館本線,北海道
発寒中央,43.089271,141.294497,JR函館本線,北海道
琴似,43.081599,141.307418,JR函館本線,北海道
桑園,43.070744,141.332036,JR函館本線,北海道
札幌,43.068612,141.350768,JR函館本線,北海道
苗穂,43.068574,141.377522,JR函館本線,北海道
白石,43.054715,141.413612,JR函館本線,北海道
厚別,43.045154,141.46369,JR函館本線,北海道
森林公園,43.056456,141.481332,JR函館本線,北海道
大麻,43.072382,141.496925,JR函館本線,北海道
野幌,43.092559,141.52984,JR函館本線,北海道
高砂,43.100084,141.540752,JR函館本線,北海道
江別,43.110189,141.55679,JR函館本線,北海道
豊幌,43.136446,141.62466,JR函館本線,北海道
幌向,43.151348,141.655839,JR函館本線,北海道
上幌向,43.18183,141.715391,JR函館本線,北海道
岩見沢,43.204201,141.759359,JR函館本線,北海道
峰延,43.264694,141.814673,JR函館本線,北海道
光珠内,43.292658,141.844655,JR函館本線,北海道
美唄,43.330751,141.862157,JR函館本線,北海道
茶志内,43.369842,141.87336,JR函館本線,北海道
奈井江,43.423718,141.889115,JR函館本線,北海道
豊沼,43.464224,141.901032,JR函館本線,北海道
砂川,43.493468,141.909642,JR函館本線,北海道
滝川,43.555278,141.900807,JR函館本線,北海道
江部乙,43.627564,141.935937,JR函館本線,北海道
妹背牛,43.690841,141.966591,JR函館本線,北海道
深川,43.721021,142.041642,JR函館本線,北海道
納内,43.732509,142.130072,JR函館本線,北海道
近文,43.789193,142.325327,JR函館本線,北海道
旭川,43.763492,142.357803,JR函館本線,北海道
沼ノ端,42.672057,141.693132,JR千歳線,北海道
植苗,42.713645,141.735344,JR千歳線,北海道
南千歳,42.80804,141.675388,JR千歳線,北海道
千歳,42.82811,141.651934,JR千歳線,北海道
長都,42.852178,141.622987,JR千歳線,北海道
サッポロビール庭園,42.866812,141.605616,JR千歳線,北海道
恵庭,42.883076,141.586234,JR千歳線,北海道
恵み野,42.902704,141.574429,JR千歳線,北海道
島松,42.922504,141.573117,JR千歳線,北海道
北広島,42.979239,141.563115,JR千歳線,北海道
上野幌,43.016177,141.487317,JR千歳線,北海道
新札幌,43.038732,141.47237,JR千歳線,北海道
平和,43.04695,141.437967,JR千歳線,北海道
新千歳空港,42.787546,141.680823,JR千歳線,北海道
旭川四条,43.764056,142.375815,JR宗谷本線,北海道
