jis_mesh,unified_genre,restaurant_count,lat,lng,google_avg_rating,google_total_reviews,google_match_count,mesh_code,population,pop_working,pop_adult,pop_elderly,households,single_households,young_single,genre_diversity,genre_hhi,other_genre_count,commercial_density_rank,genre_share,neighbor_avg_restaurants,neighbor_avg_population,working_ratio,elderly_ratio,single_ratio,young_single_ratio,saturation_index,genre_saturation,nearest_station_distance,nearest_station_name,nearest_station_passengers,station_accessibility,land_price,reviews_per_shop,google_place_count,google_density,demand_score,competitor_density,opportunity_score,reason
5030330123,washoku,1,33.586982876,130.3942257049,3.9,187.0,1,5030330123,876.0,500.0,645.0,164.0,621.0,465.0,92.0,8,0.32386363636363635,87,0.9851371951219512,0.011363636363636364,46.875,1069.625,0.5701254275940707,0.18700114025085518,0.747588424437299,0.14790996784565916,573.8786279683377,6.596306068601582,0.3816872335254391,赤坂,59699.0,123937.2685114918,2530000.0,187.0,2,13.192612137203165,0.25290360046457605,6.596306068601582,1.0,和食の競合がほぼなし（1店舗）。商圏人口876人。飽和度が高い。赤坂駅から382m（徒歩圏）
5030330114,chinese,1,33.5865989975,130.3924442098,4.5,39.0,1,5030330114,1813.0,1126.0,1330.0,232.0,1359.0,1055.0,160.0,8,0.33078968666897907,92,0.9908536585365854,0.010752688172043012,39.375,1097.75,0.6207276736493936,0.1278941565600882,0.7757352941176471,0.11764705882352941,375.0509580105993,4.076640847941296,0.31081000706770884,赤坂,59699.0,145320.2185266157,1700000.0,39.0,15,61.149612719119446,0.5249709639953543,4.076640847941296,0.9736693743307246,"中華の競合がほぼなし（1店舗）。商圏人口1,813人。飽和度が高い。赤坂駅から311m（徒歩圏）"
5030330123,ramen,1,33.5856402984,130.3966649648,4.1,583.0,1,5030330123,876.0,500.0,645.0,164.0,621.0,465.0,92.0,8,0.32386363636363635,87,0.9851371951219512,0.011363636363636364,46.875,1069.625,0.5701254275940707,0.18700114025085518,0.747588424437299,0.14790996784565916,573.8786279683377,6.596306068601582,0.4638361113349444,西鉄福岡（天神）,98680.0,175015.39546015274,2530000.0,583.0,2,13.192612137203165,0.25290360046457605,6.596306068601582,0.947756815151531,ラーメンの競合がほぼなし（1店舗）。商圏人口876人。飽和度が高い。西鉄福岡（天神）駅から464m（徒歩圏）
5030331221,cafe,2,33.59350446585,130.4076755616,4.15,578.0,2,5030331221,74.0,27.0,59.0,32.0,50.0,34.0,4.0,8,0.26947845804988657,103,0.9965701219512195,0.01904761904761905,44.625,565.5357142857142,0.36,0.4266666666666667,0.6666666666666666,0.0784313725490196,1442.577030812325,28.011204481792713,0.18088122519760028,中洲川端,24796.0,88279.30732129207,0.0,289.0,14,196.078431372549,0.02003484320557491,28.011204481792713,0.924627628763331,カフェの競合が少ない（2店舗）。商圏人口74人。飽和度が高い。中洲川端駅から181m（駅近）
5030330234,cafe,2,33.59097762345,130.4050907249,4.6,518.0,2,5030330234,1043.2857142857142,685.6428571428571,772.7142857142857,112.14285714285714,847.9285714285714,722.0714285714286,180.28571428571428,7,0.2500797109150813,95,0.9919969512195121,0.020618556701030927,45.875,458.5357142857143,0.6565663474692203,0.10738714090287278,0.8505679427850231,0.2123685317627261,564.3724009165747,11.881524229822626,0.4370066455807826,中洲川端,24796.0,46174.475128110695,2780000.0,259.0,10,59.407621149113126,0.3014766882362701,11.881524229822626,0.9101102694552009,"カフェの競合が少ない（2店舗）。商圏人口1,043人。飽和度が高い。中洲川端駅から437m（徒歩圏）"
5030331221,ramen,2,33.593206173249996,130.4080190108,4.25,460.0,2,5030331221,74.0,27.0,59.0,32.0,50.0,34.0,4.0,8,0.26947845804988657,103,0.9965701219512195,0.01904761904761905,44.625,565.5357142857142,0.36,0.4266666666666667,0.6666666666666666,0.0784313725490196,1442.577030812325,28.011204481792713,0.22676207432831122,中洲川端,24796.0,75883.95945573061,0.0,230.0,14,196.078431372549,0.02003484320557491,28.011204481792713,0.9017878120662077,ラーメンの競合が少ない（2店舗）。商圏人口74人。飽和度が高い。中洲川端駅から227m（駅近）
5030331221,chinese,2,33.592408353150006,130.40828414725001,4.15,717.0,2,5030331221,74.0,27.0,59.0,32.0,50.0,34.0,4.0,8,0.26947845804988657,103,0.9965701219512195,0.01904761904761905,44.625,565.5357142857142,0.36,0.4266666666666667,0.6666666666666666,0.0784313725490196,1442.577030812325,28.011204481792713,0.3124360349609732,中洲川端,24796.0,60120.837895132805,0.0,358.5,14,196.078431372549,0.02003484320557491,28.011204481792713,0.8970510927605049,中華の競合が少ない（2店舗）。商圏人口74人。飽和度が高い。中洲川端駅から312m（徒歩圏）
5030330234,chinese,2,33.591068177349996,130.4055544305,4.5,128.0,2,5030330234,1043.2857142857142,685.6428571428571,772.7142857142857,112.14285714285714,847.9285714285714,722.0714285714286,180.28571428571428,7,0.2500797109150813,95,0.9919969512195121,0.020618556701030927,45.875,458.5357142857143,0.6565663474692203,0.10738714090287278,0.8505679427850231,0.2123685317627261,564.3724009165747,11.881524229822626,0.4170315569637579,中洲川端,24796.0,47958.38796690337,2780000.0,64.0,10,59.407621149113126,0.3014766882362701,11.881524229822626,0.8815151568400077,"中華の競合が少ない（2店舗）。商圏人口1,043人。飽和度が高い。中洲川端駅から417m（徒歩圏）"
5030331121,washoku,1,33.5919823182,130.3950521617,3.5,89.0,1,5030331121,1377.0,702.0,752.0,83.0,1130.0,979.0,178.0,7,0.3214285714285714,55,0.959984756097561,0.017857142857142856,18.125,708.0208333333334,0.5094339622641509,0.0602322206095791,0.865605658709107,0.15738284703801944,272.6822012890431,4.95785820525533,0.37791106048668943,天神,98950.0,207046.8925729245,0.0,89.0,21,104.11502231036192,0.3983739837398374,4.95785820525533,0.8706190187410211,"和食の競合がほぼなし（1店舗）。商圏人口1,377人。飽和度が高い。天神駅から378m（徒歩圏）"
5030331212,yakiniku,1,33.5933323446,130.4046293141,4.2,12365.0,1,5030331212,232.0,146.0,149.0,5.0,219.0,204.0,44.0,7,0.28593413357956293,56,0.9626524390243902,0.017543859649122806,39.25,406.69642857142856,0.6266094420600858,0.02145922746781116,0.9272727272727272,0.2,642.2018348623853,11.46788990825688,0.2286083875233882,中洲川端,24796.0,75457.59920152734,1700000.0,12365.0,9,103.21100917431193,0.06591173054587689,11.46788990825688,0.8697398498773427,焼肉の競合がほぼなし（1店舗）。商圏人口232人。飽和度が高い。中洲川端駅から229m（駅近）
5030330114,washoku,3,33.58631873503333,130.3915547608,4.2,836.0,3,5030330114,1813.0,1126.0,1330.0,232.0,1359.0,1055.0,160.0,8,0.33078968666897907,90,0.9885670731707317,0.03225806451612903,39.375,1097.75,0.6207276736493936,0.1278941565600882,0.7757352941176471,0.11764705882352941,366.8976763147167,12.22992254382389,0.3160607080544769,赤坂,59699.0,143486.27218166276,1700000.0,278.6666666666667,15,61.149612719119446,0.5249709639953543,12.22992254382389,0.8506777010987756,"和食の競合が少ない（3店舗）。商圏人口1,813人。飽和度が高い。赤坂駅から316m（徒歩圏）"
5030330141,italian,3,33.58785308936667,130.3960956973,0.0,0.0,0,5030330141,309.0,165.0,243.0,87.0,196.0,130.0,4.0,7,0.3591448531268412,106,0.9996189024390244,0.027522935779816515,47.125,619.5,0.532258064516129,0.2806451612903226,0.6598984771573604,0.02030456852791878,1116.9652265542677,31.612223393045312,0.35782879440983373,西鉄福岡（天神）,98680.0,215539.08623681896,0.0,0.0,3,31.612223393045312,0.08826945412311266,31.612223393045312,0.8433907375522434,イタリアンの競合が少ない（3店舗）。商圏人口309人。飽和度が高い。西鉄福岡（天神）駅から358m（徒歩圏）
5030330123,chinese,2,33.5866736279,130.39538408060002,4.0,1332.0,2,5030330123,876.0,500.0,645.0,164.0,621.0,465.0,92.0,8,0.32386363636363635,86,0.9839939024390244,0.022727272727272728,46.875,1069.625,0.5701254275940707,0.18700114025085518,0.747588424437299,0.14790996784565916,567.2823218997361,13.192612137203165,0.4749946662115616,西鉄福岡（天神）,98680.0,171618.98326843264,2530000.0,666.0,2,13.192612137203165,0.25290360046457605,13.192612137203165,0.8396800506034736,中華の競合が少ない（2店舗）。商圏人口876人。飽和度が高い。西鉄福岡（天神）駅から475m（徒歩圏）
